session_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,flow_count
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,65,100070,5
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,65,3879,5
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,1,54,1
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
104.16.102.112:None->192.168.1.38:None-6,104.16.102.112,192.168.1.38,,,6,4,598,1
192.168.1.38:None->104.16.102.112:None-6,192.168.1.38,104.16.102.112,,,6,2,151,1
192.168.1.38:None->188.51.226.235:None-6,192.168.1.38,188.51.226.235,,,6,13,801,4
188.51.226.235:None->192.168.1.38:None-6,188.51.226.235,192.168.1.38,,,6,14,20524,3
192.168.1.38:None->71.183.90.8:None-6,192.168.1.38,71.183.90.8,,,6,2,126,2
192.168.1.38:None->217.79.74.139:None-17,192.168.1.38,217.79.74.139,,,17,2,142,2
192.168.1.38:None->178.162.173.134:None-6,192.168.1.38,178.162.173.134,,,6,2,126,2
192.168.1.38:None->91.170.48.164:None-6,192.168.1.38,91.170.48.164,,,6,2,126,2
192.168.1.38:None->83.219.212.56:None-6,192.168.1.38,83.219.212.56,,,6,2,126,2
192.168.1.38:None->184.160.237.73:None-6,192.168.1.38,184.160.237.73,,,6,1,63,1
192.168.1.38:None->174.95.50.173:None-6,192.168.1.38,174.95.50.173,,,6,2,126,2
74.108.225.98:None->192.168.1.38:None-6,74.108.225.98,192.168.1.38,,,6,1,54,1
23.55.244.27:None->192.168.1.38:None-6,23.55.244.27,192.168.1.38,,,6,33,48914,1
192.168.1.38:None->23.55.244.27:None-6,192.168.1.38,23.55.244.27,,,6,14,836,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,49,72239,7
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,36,2185,5
192.168.1.38:None->224.0.0.22:None-2,192.168.1.38,224.0.0.22,,,2,1,54,1
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,7,8237,1
36.236.64.74:None->192.168.1.38:None-6,36.236.64.74,192.168.1.38,,,6,1,62,1
