timestamp,src_ip,dst_ip,protocol,severity,confidence,attack_type,reason
16:38:26,192.168.1.38,217.42.82.216,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,104.208.16.90,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,9.9.9.9,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,89.181.158.238,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,83.219.212.56,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,104.208.16.90,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,71.183.90.8,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,178.162.173.134,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,83.219.212.56,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,174.95.50.173,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,77.91.229.218,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,184.160.237.73,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,89.181.158.238,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,140.82.113.25,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,82.154.111.172,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,71.183.90.8,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,217.79.74.139,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,178.162.173.134,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,188.51.226.235,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,184.160.237.73,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,174.95.50.173,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,188.51.226.235,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,192.168.1.38,172.64.155.209,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:38:26,172.64.155.209,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
