src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count
192.168.1.38,89.181.158.238,,,6,1,63
192.168.1.38,174.95.50.173,,,6,1,63
71.183.90.8,192.168.1.38,,,6,11,27574
192.168.1.38,71.183.90.8,,,6,11,620
103.161.3.31,192.168.1.38,,,1,2,180
192.168.1.38,14.139.209.217,,,6,1,62
158.173.155.86,192.168.1.38,,,6,2,108
27.115.189.220,192.168.1.38,,,6,3,327
143.244.63.172,192.168.1.38,,,6,2,108
192.168.1.38,27.115.189.220,,,6,2,108
79.127.175.113,192.168.1.38,,,6,2,108
89.67.179.188,192.168.1.38,,,6,2,108
152.168.38.148,192.168.1.38,,,6,2,108
179.61.240.162,192.168.1.38,,,6,2,108
179.61.197.115,192.168.1.38,,,6,2,108
192.168.1.38,181.214.166.71,,,6,2,124
192.168.1.38,34.66.57.33,,,6,1,430
192.168.1.38,2.50.50.159,,,6,1,62
192.168.1.38,158.173.155.86,,,6,2,124
192.168.1.38,143.244.63.172,,,6,2,124
192.168.1.38,79.127.175.113,,,6,2,124
2.50.50.159,192.168.1.38,,,6,1,54
192.168.1.38,179.61.240.162,,,6,1,62
192.168.1.38,89.67.179.188,,,6,1,62
192.168.1.38,152.168.38.148,,,6,1,62
192.168.1.38,224.0.0.251,,,17,1,87
34.66.57.33,192.168.1.38,,,6,1,54
181.214.166.71,192.168.1.38,,,6,1,54
192.168.1.38,179.61.197.115,,,6,1,62
192.168.1.38,182.235.31.66,,,6,1,62
192.168.1.38,84.20.25.150,,,6,1,62
192.168.1.38,79.45.25.150,,,6,1,62
192.168.1.38,75.182.88.243,,,6,1,62
192.168.1.38,109.245.149.150,,,6,1,62
192.168.1.38,116.206.167.19,,,6,1,62
192.168.1.38,67.160.65.25,,,6,1,62
192.168.1.38,147.236.105.226,,,6,1,62
192.168.1.38,176.100.43.218,,,6,1,62
192.168.1.38,203.23.179.20,,,6,1,62
192.168.1.38,179.101.253.232,,,6,1,62
192.168.1.38,211.27.183.145,,,6,1,62
192.168.1.38,37.66.147.158,,,6,1,62
192.168.1.38,157.119.177.47,,,6,1,62
192.168.1.38,185.172.52.95,,,6,1,62
192.168.1.38,99.237.64.62,,,6,1,62
192.168.1.38,148.66.95.195,,,6,1,62
192.168.1.38,193.2.92.102,,,6,1,62
192.168.1.38,116.147.250.120,,,6,1,62
192.168.1.38,80.85.118.135,,,6,1,62
192.168.1.38,213.130.79.172,,,6,1,62
192.168.1.38,202.47.39.159,,,6,1,62
192.168.1.38,188.252.198.205,,,6,1,62
192.168.1.38,52.119.118.153,,,6,1,62
192.168.1.38,115.69.33.239,,,6,1,62
192.168.1.38,83.76.53.77,,,6,1,62
192.168.1.38,5.29.8.176,,,6,1,62
192.168.1.38,45.64.163.242,,,6,1,62
192.168.1.38,81.196.174.94,,,6,1,62
